word,female_effect_size,female_p_value
apple,0.7479484042100023,0.0691635238780216
art,-0.10265890447305587,0.5786224481677296
banana,-0.9025939175499308,0.9641158645064559
beach,0.5315085974488314,0.14640008655921655
beer,0.2478173994248904,0.3118490259943314
book,0.2890259863604961,0.28759173814785877
bread,0.5161136241681652,0.14927141235164298
brother,-0.30581388398371756,0.7336385883222037
burger,-0.2522696070610953,0.6946737269211463
butter,0.8312061679761075,0.04672707447357416
cake,0.6291978419216755,0.10392676860976913
candy,1.0028095464511542,0.02161247860332438
car,-0.24803819014599113,0.6893508730776394
cat,0.03350917162426587,0.47303414963705803
chocolate,0.3492854209430969,0.23288698890311532
city,-0.4317170404145289,0.8057027505598959
coconut,0.1428892902516371,0.3919886383090021
coffee,-0.6900007784842423,0.9175620727718623
computer,-0.17494346641798778,0.6396984398351482
cookie,-0.07121980545189863,0.5541334519737378
cry,0.620042200978573,0.10659673350075338
daughter,0.8275075442898342,0.048255608191072774
dog,-0.28686745057659707,0.7190408116648572
dream,1.1039949730231335,0.01302082881217248
drink,0.8576007855951918,0.04357103476859103
eat,0.8131907164886111,0.05092506176122158
enemy,0.14575042613659905,0.3865381268550395
family,1.0714578045396186,0.016281358270142876
fly,0.3727573120319171,0.22521148945980318
food,0.6726892796073484,0.08873126947276266
friend,0.8703342407445703,0.03913928946710299
future,1.0467499730375762,0.017192806243248926
grape,1.2199672563793464,0.006971466279033112
happy,-0.035796545332932785,0.5235520479251401
hate,0.2573575457304762,0.30444656214677035
history,-0.16034993674894854,0.6266966840075853
house,-0.004826550093424894,0.49702622000166696
imagination,0.46496896345650457,0.17411774066716168
juice,0.5046361963031419,0.1577462947443078
jump,0.1894199905236732,0.35309728534230145
king,-1.1472127774495156,0.9892387644332946
kiwi,1.0222757869377939,0.020780236147667885
laugh,0.54948285153937,0.13853907683513644
learn,1.0553173858415197,0.017256588940282924
listen,0.9696239072582741,0.025380647129748635
love,1.0420287188538964,0.01851545726325099
mango,-0.4075557573980646,0.7940241596193821
milk,1.4739437467344707,0.001698070296854648
moon,0.15147271002255439,0.38424466663961854
mountain,-0.041567970172969065,0.5318201585789346
music,0.4624040996024468,0.17415274542233117
orange,-0.3454972925095537,0.7492074727133862
past,1.122766181051333,0.012541939349029585
pasta,0.7746285257429135,0.06044563526970648
pear,0.9709014939163159,0.026164291502110637
pineapple,0.8691136041648667,0.04167899815095055
pizza,0.10829254375345883,0.41625805027464813
present,1.1216105081729026,0.012613488051125388
queen,1.4441175902747705,0.0017510442904377088
read,0.8881752718352961,0.03733518705324568
reality,0.3407207503701803,0.24911439301231508
rice,0.9974397518925854,0.023825922168512204
river,0.9882631937702199,0.024441563079441342
run,-0.8059497017877747,0.9504590717666708
sad,-0.8185545232552796,0.9513265766968866
science,-0.2986297901098181,0.7237056929244954
sister,0.7129209906775894,0.07533110450123492
sky,-0.45572944085119976,0.8211503171605623
sleep,0.22261864374757379,0.32609218131235806
soda,0.643986775408096,0.10099852412152233
son,-0.7537231072821128,0.9326376857531761
speak,0.8708475553067199,0.04212252523572002
star,-0.10618814081528687,0.5863539323738403
stranger,0.6348767080434062,0.09906822994753672
strawberry,1.5613155967257488,0.0008522548978830979
sun,-0.683293466828318,0.9136615105828155
sushi,0.21463602251195293,0.34145891311160625
swim,0.9443544169910614,0.029040443264763516
tea,1.2363354642582074,0.0061728600055146465
teach,1.4658735746165534,0.0016260670469182559
tree,0.6815516940322833,0.08767612272205616
vodka,1.0700996786241819,0.01694751060626254
walk,0.941060801388317,0.029886367906882372
water,0.42460798157030855,0.19849264307952486
watermelon,1.154371076219782,0.01079741069680551
whiskey,0.09202951890727426,0.42825387970802453
wine,1.2406037308556166,0.006169538606799696
write,0.6635407777775253,0.09436116734910638
